artist,track_name,track_url,album_name,album_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature,genre,preview
"Wun Two, CoryaYo",Breeze,https://api.spotify.com/v1/tracks/14KpwOQW1niEdkvhEzfI4h,Waves,https://api.spotify.com/v1/albums/0aQS2UYvUXwUeQ7uyrpbPo,0.666,0.482,2,-11.828,1,0.0518,0.326,0.852,0.106,0.529,169.797,audio_features,14KpwOQW1niEdkvhEzfI4h,91219,4,chillhop,https://p.scdn.co/mp3-preview/2ee98c5d850a63783327dcf9c123f319d03bd142?cid=fc235f8b650243338f2957a048e88a50
Deeb,On and On,https://api.spotify.com/v1/tracks/21CIcS2i9XkHwUdWK9DVyt,Wndw,https://api.spotify.com/v1/albums/2TQy7YQiVBC7LUnxOVoSCm,0.471,0.537,11,-11.4,0,0.0297,0.411,0.95,0.0746,0.392,79.989,audio_features,21CIcS2i9XkHwUdWK9DVyt,264000,4,chillhop,https://p.scdn.co/mp3-preview/d063e1865c4b978c182295e0ca623f820637dd09?cid=fc235f8b650243338f2957a048e88a50
Nosaj Thing,Let You,https://api.spotify.com/v1/tracks/2wWTHWQNuAsk0HmM7SckSP,Fated,https://api.spotify.com/v1/albums/3wAQJx5YkLN3ANVt2EyYqx,0.593,0.362,0,-10.445,0,0.0416,0.705,0.599,0.102,0.0964,160.022,audio_features,2wWTHWQNuAsk0HmM7SckSP,174280,4,chillhop,https://p.scdn.co/mp3-preview/c1491a9e639b47a18f9f6d7ffabbf7ecc66d89b1?cid=fc235f8b650243338f2957a048e88a50
"TOKiMONSTA, Gavin Turek",Little Pleasures,https://api.spotify.com/v1/tracks/7pxoXyhHvujuhGa0YUfNFD,Creature Dreams EP,https://api.spotify.com/v1/albums/0QaOISw0KJsSVJZf61lcCH,0.365,0.66,4,-7.881,1,0.0299,0.0848,0.000784,0.294,0.468,83.592,audio_features,7pxoXyhHvujuhGa0YUfNFD,241754,4,chillhop,https://p.scdn.co/mp3-preview/e5214c5e5b5653a8c762278e50e9bc13e2da4cb4?cid=fc235f8b650243338f2957a048e88a50
Freddie Joachim,Shoulder Kiss,https://api.spotify.com/v1/tracks/3ZB4h7rWKKIMC06EzFiuE9,Study Guide,https://api.spotify.com/v1/albums/46LudqPGBEIX9l8FlVqe9x,0.774,0.502,10,-5.371,1,0.108,0.441,0.0193,0.158,0.756,95.084,audio_features,3ZB4h7rWKKIMC06EzFiuE9,156107,4,chillhop,https://p.scdn.co/mp3-preview/c6751e1ae2b15f69edc2a9a72f03c7361c3eeca5?cid=fc235f8b650243338f2957a048e88a50
Stars Of The Lid,Dungtitled (In a Major),https://api.spotify.com/v1/tracks/3OgkfYg13Jj96E982moWje,And Their Refinement of the Decline,https://api.spotify.com/v1/albums/6cHPEbPryLpH5VX5Eb1Vvo,0.112,0.208,9,-22.618,1,0.0552,0.949,0.935,0.101,0.0286,74.31,audio_features,3OgkfYg13Jj96E982moWje,354120,4,ambient,https://p.scdn.co/mp3-preview/9d75fac6e9a537a087c6a36215a7501738c5f938?cid=fc235f8b650243338f2957a048e88a50
Antonymes,Elegy (IV),https://api.spotify.com/v1/tracks/2j5x7pZsWbZR0b0xBE0Itp,(For Now We See) Through a Glass Dimly,https://api.spotify.com/v1/albums/3IswKOEMTdLovJzT9ifCyC,0.197,0.00171,10,-33.552,1,0.0338,0.992,0.833,0.105,0.14,63.982,audio_features,2j5x7pZsWbZR0b0xBE0Itp,271073,3,ambient,https://p.scdn.co/mp3-preview/e7652a5977691d992296c938f3c0602de68f0019?cid=fc235f8b650243338f2957a048e88a50
36,Room 2,https://api.spotify.com/v1/tracks/12GRc5mQJbMG54qDvOKAoY,The Infinity Room,https://api.spotify.com/v1/albums/3cX8n1RFLSQF0C1hcWi9QH,0.459,0.568,5,-11.35,0,0.0403,0.183,0.981,0.109,0.428,111.021,audio_features,12GRc5mQJbMG54qDvOKAoY,313260,4,ambient,https://p.scdn.co/mp3-preview/cc9811138ad7ef2af616b01a784f800ed5acfa65?cid=fc235f8b650243338f2957a048e88a50
Akira Kosemura,Whit,https://api.spotify.com/v1/tracks/5whZm73afhHIUjO5b60xS1,One Day,https://api.spotify.com/v1/albums/2dLUWpt6ybrB55RYrlEmKS,0.417,0.151,1,-28.484,0,0.0532,0.978,0.932,0.182,0.0364,140.315,audio_features,5whZm73afhHIUjO5b60xS1,202992,3,ambient,https://p.scdn.co/mp3-preview/b70e091f1c7f22aab8ee6dfadd6f4f92badb3bd9?cid=fc235f8b650243338f2957a048e88a50
Bing & Ruth,Starwood Choker,https://api.spotify.com/v1/tracks/2w5l9sDXytt4lu0ZYFSoIX,No Home of the Mind,https://api.spotify.com/v1/albums/24gsYd7bA0V4fHCHpc3KlM,0.153,0.198,11,-19.542,1,0.0333,0.903,0.933,0.0977,0.0354,85.738,audio_features,2w5l9sDXytt4lu0ZYFSoIX,376956,4,ambient,https://p.scdn.co/mp3-preview/e153030cd8c9ee76cd4759dd57c924d9de6c7684?cid=fc235f8b650243338f2957a048e88a50
